S1-1,S1-2,S1-3,S1-4,S1-5_1,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,cluster_tsne,cluster_pca
1,10,2,1,21,1,2,2,6,1,3,1,2
1,6,2,1,19,7,2,2,4,1,3,0,0
1,11,2,1,18,4,2,1,4,1,2,1,0
1,10,2,1,22,4,2,2,1,6,3,1,2
1,10,2,1,19,1,2,2,3,1,4,1,0
2,14,1,2,28,1,1,2,2,1,3,0,0
1,10,2,1,19,4,2,1,1,1,2,1,2
1,10,2,1,21,3,1,2,2,6,2,2,0
1,3,2,1,25,1,1,2,3,1,2,0,0
3,11,2,1,26,4,2,2,2,2,3,1,0
1,10,2,5,24,2,2,2,4,6,2,2,1
1,10,2,1,21,1,2,2,1,1,2,2,1
1,10,2,1,23,1,1,2,3,6,4,2,1
1,10,2,1,18,1,2,1,4,3,2,0,0
2,14,2,1,29,1,1,2,6,1,2,2,1
1,10,2,1,18,3,2,1,2,1,3,2,1
1,2,2,1,22,4,2,2,1,1,2,2,1
1,11,2,1,34,4,2,2,1,6,4,1,2
1,10,1,2,19,4,2,1,2,1,2,2,0
1,10,2,1,19,1,2,1,3,6,5,1,2
1,10,2,1,20,1,1,2,4,1,2,2,0
1,11,1,2,25,4,1,2,5,1,2,1,2
1,10,2,1,21,1,2,2,4,6,3,0,0
3,10,2,1,27,1,1,2,2,1,2,1,2
1,11,2,1,19,1,1,1,3,1,2,1,2
1,10,2,1,20,1,2,1,1,1,1,1,2
1,10,2,1,21,1,1,2,4,1,3,0,0
1,10,2,1,23,4,2,2,6,1,2,0,0
3,5,1,2,25,4,1,2,2,1,2,1,2
1,10,2,1,21,4,2,1,5,3,2,1,2
1,2,2,1,19,1,2,2,4,3,2,1,2
1,15,2,1,18,1,2,2,6,1,4,2,1
1,1,1,2,21,1,2,2,6,6,5,2,1
1,10,2,1,19,1,2,2,4,1,3,2,1
2,14,2,1,29,1,1,5,4,6,1,0,0
